Indicator Code: CG1040
"Indicator Name: Cardiovascular diseases"
Export date: 5/30/2022 9:05:23 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: I00-I99"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,BGR,Bulgaria,2006,All,Age_all,[All],75332.00000000,66.40808195,500.05053414,978.46219389,
EU,Europe,BGR,Bulgaria,2007,All,Age_all,[All],74380.00000000,65.82067891,483.76372860,971.04819417,
EU,Europe,BGR,Bulgaria,2008,All,Age_all,[All],71492.00000000,64.68517865,457.65400910,937.79739867,
EU,Europe,BGR,Bulgaria,2009,All,Age_all,[All],71306.00000000,65.98252952,453.55116557,940.07605142,
EU,Europe,BGR,Bulgaria,2010,All,Age_all,[All],74392.00000000,67.52779921,465.37871137,987.37916743,
EU,Europe,BGR,Bulgaria,2011,All,Age_all,[All],72582.00000000,67.04539156,446.63770024,978.71561207,
EU,Europe,BGR,Bulgaria,2012,All,Age_all,[All],71644.00000000,65.55942936,428.60279204,980.63370257,
EU,Europe,BGR,Bulgaria,2013,All,Age_all,[All],67910.00000000,65.08217931,404.15805837,934.74088160,
EU,Europe,BGR,Bulgaria,2014,All,Age_all,[All],71759.00000000,65.86294882,421.17992984,993.35023317,
EU,Europe,BGR,Bulgaria,2015,All,Age_all,[All],72027.00000000,65.40951897,415.79463450,1003.44232810,
EU,Europe,BGR,Bulgaria,2016,All,Age_all,[All],70459.00000000,65.49451571,406.74671110,988.50672758,
EU,Europe,BGR,Bulgaria,2017,All,Age_all,[All],71995.00000000,65.57459172,411.37543072,1017.46098440,
EU,Europe,BGR,Bulgaria,2018,All,Age_all,[All],70545.00000000,65.00285646,401.26984479,1004.19399930,
EU,Europe,BGR,Bulgaria,2019,All,Age_all,[All],68839.00000000,63.69086720,386.06567250,986.83147164,
